date,followers,change
2026-08-05,19948,
2026-08-06,19948,0
2026-08-07,19956,+8
2026-08-08,19961,+5
2026-08-09,19963,+2
2026-08-10,19963,0
2026-08-11,19956,-7
2026-08-12,19950,-6
2026-08-13,19953,+3
2026-08-14,19948,-5
2026-08-15,19954,+6
2026-08-16,19957,+3
2026-08-17,19954,-3
2026-08-18,19944,-10
2026-08-19,19945,+1
2026-08-20,19947,+2
2026-08-21,19946,-1
2026-08-22,19945,-1
2026-08-23,19951,+6
2026-08-24,19955,+4
2026-08-25,19959,+4
2026-08-26,19962,+3
2026-08-27,19972,+10
2026-08-28,19975,+3
2026-08-29,19971,-4
2026-08-30,19970,-1
2026-08-31,19972,+2
2026-09-01,19968,-4
2026-09-02,19969,+1
2026-09-03,19975,+6
2026-09-04,19972,-3
2026-09-05,19976,+4
2026-09-06,19971,-5
2026-09-07,19969,-2
2026-09-08,19963,-6
2026-09-09,19965,+2
2026-09-10,19963,-2
2026-09-11,19961,-2
2026-09-12,19956,-5
